video_id,title,category,format,main topic,level,published_date,description,duration,view_count,like_count,comment_count,url
jkMeu_V5t4g,Join our Camps in the Worlds Best Freestyle Ski Resort | #shorts,Freestyle,Promo,Camp Promo,NA,2024-10-10T16:28:36Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT1M5S,850,18,2,https://www.youtube.com/watch?v=jkMeu_V5t4g
zUacfnwkbPo,19 July 2024,Freestyle,Promo,Camp Promo,NA,2024-07-19T08:29:46Z,,PT45S,917,33,2,https://www.youtube.com/watch?v=zUacfnwkbPo
O4_GPecOVts,Learn Rad New Trampoline Tricks at our Freestyle Camps | #shorts,Freestyle,Promo,Camp Promo,NA,2024-08-31T18:00:42Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT48S,954,20,0,https://www.youtube.com/watch?v=O4_GPecOVts
Z9U65ml1sII,How to Slide Rails on Skis (Live Coaching) | #shorts,Freestyle,Live Coaching,Jibbing,Beginner,2024-07-09T16:00:28Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT45S,1012,29,0,https://www.youtube.com/watch?v=Z9U65ml1sII
T4zfd26qKv0,Carv 2 App Review | #shorts,Ski Tech,Review,Carv,NA,2024-12-03T17:10:15Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT45S,1118,32,0,https://www.youtube.com/watch?v=T4zfd26qKv0
ulu8WUXIFx0,Ski Technique Camps For Adults | Laax,Ski Tech,Promo,Camp Promo,NA,2024-10-08T17:00:45Z,"Focus on your ski technique for a week, improve your short and long turns, get a taste for bumps, and try your first tricks on skis. All with our top-qualified instructors using video analysis and Carv Digital Ski Coach in your boots to ensure maximum progress! Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT1M24S,1225,20,1,https://www.youtube.com/watch?v=ulu8WUXIFx0
TRm6iHfmyoE,How to Compare Carv Ski Data | #shorts,Ski Tech,Tutorial,Carv,all,2024-10-08T16:00:25Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT1M,1304,32,0,https://www.youtube.com/watch?v=TRm6iHfmyoE
tzSbFoxrQ6w,Join a Freestyle Ski Camp in Hintertux in November| #shorts,Freestyle,Promo,Camp Promo,NA,2024-08-30T18:25:40Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT28S,1330,35,1,https://www.youtube.com/watch?v=tzSbFoxrQ6w
PUyFudWGUu4,Become a Badass Rail Skier at our Freeski Camps | #shorts,Freestyle,Promo,Camp Promo,NA,2024-09-04T16:12:18Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT1M,1341,42,0,https://www.youtube.com/watch?v=PUyFudWGUu4
4RI2_kMPeyo,Quick Tips for Sliding Boxes and Rails on Skis | #shorts,Freestyle,Tutorial,Jibbing,Beginner,2024-07-03T16:29:31Z,"Book a Camp → ⛷️ https://stompitcamps.com/ 🚡

Stomp It Camps - Step-by-Step Ski Camps for Adults
 |- Ski Technique - | - Freestyle - | - Freeride - | 
⛷️ https://stompitcamps.com/ 🚡

Join our Discord: https://discord.gg/6aHaGb8X8m 
Free Video Ski Course: https://stompitcamps.com/pages/free-online-courses

Instagram:                      https://www.instagram.com/stompittutorials/
TikTok:                            https://www.tiktok.com/@stompittutorials

North America 🇺🇸 🇨🇦
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/atomicbentchetler100
🏔️ http://bit.ly/backland107
🪖 http://bit.ly/North-America-Four-Amid-Helmet
🦺 https://bit.ly/North-America-Elevenate-Free-tour
👖 https://bit.ly/North-America-Elevenate-Bec-Pants

Europe 🇪🇺
⛷️ https://bit.ly/CARV-DIGITAL-SKI-COACH
🎿 http://bit.ly/EU-Bent-Chetler100
🪖 http://bit.ly/EU-Amid-Helmet
👕 https://bit.ly/EU-E11-Freetour-Jacket
👖 https://bit.ly/EU-E11-Bec-Pants",PT1M,1406,41,1,https://www.youtube.com/watch?v=4RI2_kMPeyo
